م,اسم القارئ,نوع القراءة,بداية الرابط,عمود ارقام السور,السيرفر,تسجيلات
1,الحصرى,مرتل,https://download.quran.islamway.net/quran3/212/,6,الرابط من موقع طريق الإسلام,إذاعة 
2,الحصرى,مرتل,https://download.quran.islamway.net/quran3/144/,6,الرابط من موقع طريق الإسلام,بالمد 
3,الحصرى,مجود,https://ia802908.us.archive.org/32/items/40kb-mp3-alhosary-mogawwad-cairo-sound-114-sorah/,6,مرفوع على أرشيف من فرسان السنة,مجود 
4,البنا,مرتل,https://download.quran.islamway.net/quran3/145/,6,الرابط من موقع طريق الإسلام,مرتل 
5,البنا,مجود,https://ia801603.us.archive.org/22/items/alfirdwsiy1433_gmail_05555555555555555555555245772755702/,6,مرفوع على أرشيف من تيفي قران,مجود 
6,عبد الباسط,مرتل,https://download.quran.islamway.net/quran3/956/74/32/,6,الرابط من موقع طريق الإسلام,مرتل 
7,عبد الباسط,مجود,https://download.quran.islamway.net/quran3/203/,6,الرابط من موقع طريق الإسلام,مجود 
8,المنشاوى,مرتل,https://download.quran.islamway.net/quran3/1032/9925/32/,6,الرابط من موقع طريق الإسلام,مرتل 
9,مشارى,مرتل,,8,الرابط من موقع طريق الإسلام,منوع 
10,الغامدى,مرتل,https://download.quran.islamway.net/quran3/442/45/32/,6,الرابط من موقع طريق الإسلام,رسمي 
11,العوسى,مرتل,https://ia800906.us.archive.org/10/items/32--kb-----abd--alrahman--gamal---al3osy---mp3--full--mushaf--quran--114--sora/ar_,7,مرفوع على أرشيف من ربيع الفردوس,رسمي 
12,الصوفى,مرتل,https://download.quran.islamway.net/quran3/692/,6,الرابط من موقع طريق الإسلام,حفص 
13,الطبلاوى,مرتل,https://download.quran.islamway.net/quran3/141/,6,الرابط من موقع طريق الإسلام,مرتل 
14,الطبلاوى,مجود,https://download.quran.islamway.net/quran3/996/10875/32/,6,الرابط من موقع طريق الإسلام,مجود 
15,احمد عامر,مرتل,https://download.quran.islamway.net/quran3/576/,6,الرابط من موقع طريق الإسلام,مرتل 
16,الشاطرى,مرتل,https://download.quran.islamway.net/quran3/57/,6,الرابط من موقع طريق الإسلام,مرتل 
17,القطامى,مرتل,https://download.tvquran.com/download/recitations/90/25/,6,الرابط من موقع تى في قران,1433هـ
18,الدوسرى,مرتل,https://download.quran.islamway.net/quran3/972/8087/32/,6,الرابط من موقع طريق الإسلام,مرتل 
19,العجمى,مرتل,https://download.quran.islamway.net/quran3/21/,6,الرابط من موقع طريق الإسلام,مرتل 
20,الصائغ,مرتل,https://download.quran.islamway.net/quran3/29/,6,الرابط من موقع طريق الإسلام,مرتل 
21,سلامة,مرتل,https://ia800408.us.archive.org/18/items/Moshaf_y.salama/,5,الرابط من موقع أرشيف,HQ 
22,عبد العزيز,مرتل,https://ia800707.us.archive.org/21/items/Mohamed_Abd_Elaziz_Qiam1432/,6,الرابط من موقع أرشيف,HQ 
23,الطنيجى,مرتل,https://download.quran.islamway.net/quran3/308/,6,الرابط من موقع طريق الإسلام,مرتل 
24,تفسير,السعدى,https://ia800505.us.archive.org/8/items/Tafseer_Al-Saadi_mp3/,6,الرابط من موقع أرشيف,سعدى
