رقم السورة;باللغة العربية;الإسم إنكليزيا;الإسم عربي;الترجمة الإنجليزية;5;6;7;8
1;الفاتحة;al-Fatihah;al-faatiHah;The Opening;001_Surat_Afate7h.mp3;001.mp3;001_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/001.mp3
2;البقرة;al-Baqarah;al-baqarah;The Cow;002_Surat_Albaqarah.mp3;002.mp3;002_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://archive.org/download/002_20200822/002.mp3
3;آل عمران;Al-Imran;aali-`imraan;The Family Of Imran;003_Surat_Al_3mran.mp3;003.mp3;003_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/003.mp3
4;النساء;an-Nisa';an-nisaa';Women;004_Surat_Alnesaa.mp3;004.mp3;004_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/004.mp3
5;المائدة;al-Ma'idah;al-maa'idah;The Food;005_Surat_Almaedah.mp3;005.mp3;005_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/005.mp3
6;الأنعام;al-An`am;al-an`aam;The Cattle;006_Surat_Alan3am.mp3;006.mp3;006_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/006.mp3
7;الأعراف;al-A`raf;al-a`raaf;The Elevated Places;007_Surat_Ala3raf.mp3;007.mp3;007_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/007.mp3
8;الأنفال;al-Anfal;al-anfaal;The Spoils Of War;008_Surat_Alanfal.mp3;008.mp3;008_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/008.mp3
9;التوبة;at-Taubah;at-tawbah;Repentance;009_Surat_Altawbah.mp3;009.mp3;009_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/009.mp3
10;يونس;Yunus;yoonus;Jonah;010_Surat_Younus.mp3;010.mp3;010_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/010.mp3
11;هود;Hud;hood;Hud;011_Surat_Hood.mp3;011.mp3;011_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/011.mp3
12;يوسف;Yusuf;yoosuf;Joseph;012_Surat_Yousuf.mp3;012.mp3;012_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://archive.org/download/002_20200822/018.mp3
13;الرعد;ar-Ra`d;ar-Ra`d;The Thunder;013_Surat_Alr3d.mp3;013.mp3;013_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/013.mp3
14;إبراهيم;Ibrahim;ibraheem;Abraham;014_Surat_Ebraheem.mp3;014.mp3;014_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/014.mp3
15;الحجر;al-Hijr;al-Hijr;The Rock;015_surat_al7ejr.mp3;015.mp3;015_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/015.mp3
16;النحل;an-Nahl;an-naHl;The Bee;016_Surat_Alnahl.mp3;016.mp3;016_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/016.mp3
17;الإسراء;Al-Isra;al-Isra';The Night Journey;017_Surat_Alesaraa.mp3;017.mp3;017_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/017.mp3
18;الكهف;al-Kahf;al-kahf;The Cave;018_Surat_Alalkahf.mp3;018.mp3;018_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/018.mp3
19;مريم;Maryam;maryam;Mary;019_Surat_Marym.mp3;019.mp3;019_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/019.mp3
20;طه;Ta Ha;Taa haa;Ta Ha;020_Surat_Taha.mp3;020.mp3;020_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/020.mp3
21;الأنبياء;al-Anbiya';al-anbiyaa';The Prophets;021_Surat_Alanbyaa.mp3;021.mp3;021_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/021.mp3
22;الحج;al-Hajj;al-Hajj;The Pilgrimage;022_Surat_Alhaj.mp3;022.mp3;022_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/022.mp3
23;المؤمنون;al-Mu'minun;al-mu'minoon;The Believers;023_Surat_Almomnon.mp3;023.mp3;023_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/023.mp3
24;النّور;an-Nur;an-noor;The Light;024_Surat_Alnoor.mp3;024.mp3;024_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/024.mp3
25;الفرقان;al-Furqan;al-furqaan;The Criterion;025_Surat_Alforqan.mp3;025.mp3;025_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/025.mp3
26;الشعراء;ash-Shu`ara';ash-shu`araa';The Poets;026_Surat_Alsho3araa.mp3;026.mp3;026_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/026.mp3
27;النّمل;an-Naml;an-naml;The Ant;027_Surat_Alnaml.mp3;027.mp3;027_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/027.mp3
28;القصص;al-Qasas;al-qasas;The Narrative;028_Surat_Alqasas.mp3;028.mp3;028_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/028.mp3
29;العنكبوت;al-`Ankabut;al-`ankaboot;The Spider;029_Surat_Al3nkaboot.mp3;029.mp3;029_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/029.mp3
30;الرّوم;ar-Rum;ar-room;The Romans;030_Surat_Alroom.mp3;030.mp3;030_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/030.mp3
31;لقمان;Luqman;luqmaan;Lukman;031_Surat_luqman.mp3;031.mp3;031_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/031.mp3
32;السجدة;as-Sajdah;as-sajdah;The Adoration;032_Surat_Alsajdh.mp3;032.mp3;032_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/032.mp3
33;الأحزاب;al-Ahzab;al-aHzab;The Allies;033_Surat_Alahzab.mp3;033.mp3;033_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/033.mp3
34;سبأ;Saba';as-Saba';Sheba;034_Surat_Sabaa.mp3;034.mp3;034_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/034.mp3
35;فاطر;Fatir;faaTir;The Creator;035_Surat_Fater.mp3;035.mp3;035_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/035.mp3
36;يس;Ya Sin;yaa seen;Ya Sin;036_Surat_Yaseen.mp3;036.mp3;036_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/036.mp3
37;الصافات;as-Saffat;aS-Saaffaat;The Rangers;037_Surat_Alsaffat.mp3;037.mp3;037_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/037.mp3
38;ص;Sad;Saad;Sad;038_Surat_Saad.mp3;038.mp3;038_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/038.mp3
39;الزمر;az-Zumar;az-zumar;The Companies;039_Surat_Alzomar.mp3;039.mp3;039_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/039.mp3
40;غافر;Ghafir;Ghafir;The Forgiving One;040_Surat_Ghfer.mp3;040.mp3;040_Abdul_Rahman_Ben_Gamal_Al-ausi.mp3;https://download.quran.islamway.net/quran3/506/213/32/040.mp3
